skill_id,name,advice,next_steps
beachvolley:spinnserve,Saque con efecto,Haz girar el balón con los dedos antes del saque.|Golpea el balón con potencia para crear rotación.|Varía el efecto para dificultar la recepción al rival.|Practica golpear el balón correctamente para el efecto deseado.,Practica el agarre – sujeta y gira el balón sin sacar.|Entrena la dirección del efecto: topspin vs. efecto lateral.|Practica 10 saques con efecto en fila hacia un campo.|Fílmate la mano en el contacto – verifica el trabajo de dedos.
volleyboll:fingerslag,Pase de dedos,Mantén la muñeca recta y los dedos juntos.|Golpea el balón con las yemas de los dedos para mejor control.|Sigue el movimiento del golpe para dar al balón la dirección correcta.|Practica colocar el balón exactamente donde quieres.,Practica pases de dedos contra la pared 50 veces al día.|Fílmate de frente – verifica la posición de las manos.|Practica con compañero en pases de dedos en parejas 10 en fila.|Concéntrate en la altura y precisión del colocado.
volleyboll:bagger,Voleo bajo (antebrazos),Usa todo el brazo para crear potencia.|Mantén la muñeca relajada para mejor sensación.|Golpea el balón frente al cuerpo.|Concéntrate en pasar el balón sobre la red con precisión.,Practica voleo bajo contra la pared con tempo constante.|Entrena el trabajo de pies – posiciónate bien.|Practica saque–recepción con compañero 20 en fila.|Trabaja el ángulo del brazo en el contacto.
volleyboll:underarmsserve,Saque por abajo,"Párate con los pies a la anchura de los hombros.|Golpea el balón con el antebrazo, no con la mano.|Mantén el balón quieto antes del saque.|Practica variar la dirección y velocidad del saque.",Practica la precisión: apunta a zonas específicas.|Varía la potencia de sesión a sesión.|Fílmate el saque desde el lado – verifica la posición.|Practica 20 saques en fila con técnica consistente.
volleyboll:overarmsserve,Saque por arriba,Lanza el balón hacia arriba y golpéalo cuando cae.|Usa todo el cuerpo para generar potencia.|Mantén los ojos en el balón todo el tiempo.|Practica golpear el balón en el centro para mejor control.,Practica el lanzamiento por separado – altura consistente.|Concéntrate en la rotación de cadera.|Entrena la variación de dirección (cruzado/línea).|Fílmate desde el lado – verifica la altura del codo.
volleyboll:spike,Remate,Salta alto y estira el brazo completamente.|Contacta el balón frente a la frente.|Usa la muñeca para dirigir el balón.|Sigue el movimiento del golpe para máxima potencia.,Practica la aproximación de 3 pasos hasta que salga bien.|Entrena el salto para la explosividad.|Practica el remate con red sin oposición.|Fílmate de frente – verifica la altura del contacto.
volleyboll:alternativa-anfall,Ataques alternativos,Varía tus ataques para sorprender al rival.|Practica diferentes tipos de golpes como el toque y el rodado.|Usa el cuerpo para crear ángulos.|Comunícate con tu compañero sobre qué ataque vas a hacer.,"Practica toque y rodado 10 veces cada uno.|Entrena la toma de decisión tardía en el salto.|Practica con compañero: el bloqueador elige, el atacante se adapta.|Fílmate de perfil para analizar la ocultación de intención."
volleyboll:block,Bloqueo,Salta al mismo tiempo que el rival.|Mantén los brazos rectos y las manos juntas.|Lee la intención del rival.|Bloquea el balón recto hacia arriba para ayudar a tu compañero.,Practica el timing del bloqueo con un compañero que ataca.|Entrena leer la dirección del hombro.|Practica aterrizaje estable y movimiento directo.|Fílmate de frente – posición de manos en el contacto.
volleyboll:servemottag,Recepción del saque,Ponte en posición con las rodillas dobladas.|Mueve los pies rápido para alcanzar el balón.|Usa la mano plana para mejor control.|Pasa el balón alto y preciso a tu compañero.,Practica recepción–pase–colocada en grupo de 3.|Entrena la velocidad de reacción con saques variados.|Practica la precisión: apunta a la posición del colocador.|Fílmate en partido para analizar las decisiones de posición.
volleyboll:hoppfloat,Saque flotante en salto,Salta alto y golpea el balón con las yemas de los dedos.|Mantén la muñeca recta.|Crea un movimiento flotante.|Practica colocar el balón exactamente.,Practica el movimiento flotante de pie en el suelo.|Entrena la aproximación + salto sin balón.|Practica la precisión a campos específicos.|Fílmate desde el lado – verifica la altura del salto.
volleyboll:spinnserve,Saque con efecto,Haz girar el balón con los dedos antes del saque.|Golpea el balón con potencia para crear rotación.|Varía el efecto para dificultar la recepción al rival.|Practica golpear el balón correctamente para el efecto deseado.,Practica el agarre y la rotación del balón por separado.|Entrena topspin vs. efecto lateral.|Practica 10 saques con efecto en fila hacia un campo.|Fílmate la mano en el contacto – verifica el trabajo de dedos.
tennis:forehand,Golpe de derecha,Prepárate pronto con un split step claro antes del golpe del rival.|Encuentra el balón frente al cuerpo para mejor control y potencia.|Rota cadera y hombros juntos en el golpe para una potencia estable.|Termina alto y equilibrado para una trayectoria más consistente.,Realiza 3 x 20 derechas cruzadas enfocándote en la preparación temprana.|Grábate desde el lado y verifica que el punto de contacto está frente a la cadera.|Alterna 10 golpes cruzados y 10 golpes a lo largo de la línea.|Termina la sesión con 15 derechas en fila a tempo controlado.
tennis:backhand,Golpe de revés,Carga pronto con la raqueta atrás y una línea de hombros estable.|Mantén la cabeza quieta durante todo el contacto.|Usa las piernas y el cuerpo para generar potencia en vez de solo el brazo.|Dirige el seguimiento claramente hacia tu objetivo.,Golpea 30 reveses contra la pared con tempo constante y buen margen sobre la red.|Practica revés en movimiento con 5 series de ejercicios de desplazamiento lateral.|Grábate por detrás para revisar la rotación de hombros y el equilibrio.|Completa 12 reveses en fila con foco en la profundidad.
tennis:serve,Saque,Mantén el lanzamiento consistente en altura y posición en cada saque.|Crea una flexión de rodillas clara y empuja hacia arriba con las piernas.|Contacta el balón en el punto más alto posible con el brazo relajado.|Aterriza con control y prepárate para el siguiente golpe inmediatamente.,Practica 20 lanzamientos sin golpear hasta que caigan en la misma ventana.|Saca 3 x 10 primeros saques hacia una zona objetivo elegida.|Alterna sets de precisión y sets de velocidad.|Grábate desde el lado para analizar el punto de contacto y el timing.
tennis:volley-vid-nat,Volea en la red,Un backswing corto y una cara de raqueta firme crean una volea estable.|Usa pequeños pasos de ajuste para que el contacto ocurra frente al cuerpo.|Mantén el centro de gravedad adelante con las rodillas ligeramente dobladas.|Coloca las voleas en el espacio abierto en vez de forzar la máxima potencia.,Realiza 4 x 12 voleas de derecha cerca de la red con foco en el control.|Realiza 4 x 12 voleas de revés apuntando al mismo punto de contacto cada rep.|Practica la transición de la línea de fondo a la red con split step antes de la volea.|Grábate de frente y revisa el ángulo de la raqueta en el contacto.
paddel:forehand,Golpe de derecha,Prepara el golpe pronto y mantén un swing compacto para mejor control en el juego de cristal.|Encuentra el balón frente al cuerpo y mantén la cabeza quieta durante el contacto.|Usa las piernas y el cuerpo para crear velocidad estable en vez de forzar con el brazo.|Vuelve rápido a la posición de espera tras cada golpe.,Realiza 3 x 20 derechas cruzadas con foco en el margen sobre la red.|Alterna 10 derechas profundas y 10 balones cortos controlados.|Grábate desde el lado y revisa el punto de contacto y equilibrio.|Termina con 15 derechas en fila a tempo controlado.
paddel:backhand,Golpe de revés,Coloca la raqueta pronto y mantén el hombro no dominante apuntando al balón.|Mantente bajo con las rodillas dobladas para manejar los botes bajos del pádel.|Impulsa a través del balón con un seguimiento suave hacia el objetivo.|Vuelve a la posición central inmediatamente tras el contacto.,Realiza 3 x 15 reveses cruzados con altura y profundidad constantes.|Practica 10 reveses tras rebote de pared en cada lado.|Grábate por detrás y revisa la rotación de hombros y la distancia al balón.|Completa 12 reveses en fila antes de aumentar la velocidad.
paddel:serve,Saque,Usa un lanzamiento bajo consistente y contacta por debajo de la cintura según las reglas del pádel.|Prioriza el efecto y la colocación antes de la máxima potencia.|Mantén el cuerpo en equilibrio y da un paso hacia la pista tras el contacto.|Prepárate rápido para la primera volea tras el saque.,Practica 30 saques hacia la misma zona a ritmo controlado.|Alterna saques cruzados y saques al cuerpo en series de 10.|Grábate desde el lado y verifica la altura del lanzamiento y el timing del contacto.|Juega ejercicios de inicio de punto enfocados en saque más primera volea.
gym:squat,Sentadilla,Activa el core antes de cada repetición y mantén la columna neutral.|Mantén las rodillas alineadas con los dedos de los pies y presión en toda la planta del pie.|Baja con control y mantén el pecho levantado.|Sube con potencia manteniendo el equilibrio.,Realiza 4 x 6 reps con carga moderada y profundidad consistente.|Fílmate de lado para verificar la trayectoria de la barra y el ángulo de la espalda.|Añade un set de sentadilla con pausa para mejorar la posición baja.|Aumenta el peso solo si la técnica se mantiene estable.
gym:deadlift,Peso muerto,Coloca la barra cerca de las espinillas y mantén los dorsales tensos antes de levantar.|Empuja el suelo hacia abajo y mantén la barra cerca del cuerpo.|Extiende completamente las caderas sin hiperextender la espalda.|Reestablece la posición entre repeticiones para mantener la consistencia.,Realiza 5 x 3 reps enfocándote en una configuración limpia cada vez.|Grábate desde 45 grados para revisar la sincronía de cadera y hombros.|Añade deadlifts de tempo ligero para el control de posición.|Aumenta la carga gradualmente manteniendo la velocidad de la barra.
gym:bench-press,Press de banca,Coloca la parte superior de la espalda firmemente en el banco y mantén los pies en el suelo.|Baja la barra con control hasta la mitad del pecho manteniendo las muñecas alineadas.|Empuja hacia arriba con fuerza uniforma desde ambos brazos y trayectoria estable de codos.|Mantén la tensión en todo el cuerpo durante cada repetición.,Realiza 4 x 5 reps a tempo controlado.|Fílmate de frente y de lado para verificar la simetría de la trayectoria de la barra.|Añade un set de press de banca con pausa para mejorar el control del pecho.|Aumenta la carga en pequeños pasos solo tras sets limpios.
gym:overhead-press,Press sobre la cabeza,Aprieta glúteos y core para evitar hiperextender la zona lumbar.|Comienza con la barra cerca del pecho superior con las muñecas alineadas.|Prensa en trayectoria recta y mueve la cabeza al pasar en el bloqueo.|Baja con control a la misma posición inicial.,Realiza 4 x 6 reps con forma estricta.|Practica 2 sets más ligeros de vuelta para la técnica.|Grábate de lado y verifica el abultamiento de costillas y la trayectoria de la barra.|Añade pequeños incrementos de carga solo cuando las repeticiones sean estrictas.
gym:pull-up,Dominadas,Comienza desde una suspensión completa con los hombros activos.|Jala los codos hacia abajo hacia las costillas para activar la espalda.|Mantén el cuerpo tenso y evita el balanceo excesivo.|Baja con control hasta la extensión completa en cada rep.,Completa 5 series cerca del fallo técnico con forma perfecta.|Usa dominadas asistidas si no puedes mantener el rango completo.|Añade retenciones isométricas en la parte superior de 5-10 segundos.|Registra el total de repeticiones semanales de calidad y progresa gradualmente.
gym:barbell-row,Remo con barra,Inclínate en las caderas y mantén el torso estable durante el set.|Jala la barra hacia las costillas inferiores manteniendo los codos cercanos.|Evita tirones con la zona lumbar para mover el peso.|Controla la fase excéntrica para mejor activación de la espalda.,Realiza 4 x 8 reps con tempo estricto.|Fílmate de lado y monitorea la consistencia del ángulo del torso.|Añade un set más ligero con pausa de 2 segundos en la parte superior.|Aumenta la carga solo si no se usa impulso.
gym:lat-pulldown-machine,Jalón al pecho (máquina),Coloca los muslos firmemente bajo la almohadilla y mantén una postura erguida.|Jala la barra hasta el pecho superior impulsando los codos hacia abajo y atrás.|Evita inclinar demasiado; mantén el movimiento controlado.|Regresa lentamente al estiramiento completo en la parte superior.,Realiza 4 x 10 reps con ritmo suave.|Usa un ancho de agarre que mantenga los hombros cómodos.|Pausa 1 segundo en la parte inferior de cada rep.|Progresa la resistencia cuando todas las reps sean limpias.
gym:leg-press-machine,Prensa de piernas (máquina),Posiciona los pies a la anchura de los hombros y mantén las rodillas alineadas con los dedos.|Baja la plataforma con control hasta una profundidad cómoda.|Empuja a través del centro del pie sin bloquear las rodillas agresivamente.|Mantén las caderas y la zona lumbar estables contra el asiento.,Realiza 4 x 12 reps a resistencia moderada.|Ajusta la posición de los pies para encontrar la presión equilibrada.|Añade un set excéntrico más lento para el control.|Aumenta la carga cuando la profundidad y la alineación sean consistentes.
gym:chest-press-machine,Press de pecho (máquina),Ajusta la altura del asiento para que las mancuernas estén alineadas con la mitad del pecho.|Mantén los hombros hacia abajo y atrás durante todo el movimiento.|Prensa suavemente sin rebotar al final del recorrido.|Regresa con control y mantén la tensión.,Realiza 3 x 12 reps con rango completo.|Usa 2 segundos de bajada en cada repetición.|Monitorea el equilibrio izquierda-derecha durante el press.|Añade resistencia solo después de que todas las reps estén controladas.
gym:seated-row-machine,Remo sentado (máquina),Siéntate erguido con la columna neutral y el pecho abierto.|Inicia jalando los omóplatos hacia atrás antes de doblar los codos.|Jala las asas hacia las costillas inferiores sin encoger los hombros.|Controla el regreso y mantén la postura estable.,Completa 4 x 10 reps con cadencia constante.|Haz una breve pausa en la posición contraída en cada rep.|Fílmate de lado para verificar que el torso permanece erguido.|Progresa el peso gradualmente preservando la forma.
gym:treadmill-run,Carrera en cinta,Mantén la postura erguida con ligera inclinación hacia adelante desde los tobillos.|Aterriza bajo el centro de masa con pasos rápidos y ligeros.|Mantén los hombros relajados y un balanceo de brazos consistente.|Controla los cambios de ritmo gradualmente.,Calienta 8 minutos a ritmo suave antes de los intervalos.|Realiza 6 x 1 minuto de esfuerzo intenso con 1 minuto de recuperación suave.|Registra la cadencia y la frecuencia cardíaca para retroalimentación del ritmo.|Enfría 5-8 minutos y anota el esfuerzo percibido.
gym:stationary-bike,Bicicleta estática,Ajusta la altura del sillín para que las rodillas permanezcan ligeramente dobladas en el punto inferior.|Mantén la cadencia suave y evita pedalear con engranajes pesados.|Mantén la columna neutral y un agarre relajado en el manillar.|Controla el ritmo de respiración para que coincida con las zonas de esfuerzo.,Pedalea 30 minutos con 5 bloques de intensidad progresiva.|Incluye 8 x 30 segundos de esfuerzo de alta cadencia.|Registra la cadencia promedio y la resistencia en cada sesión.|Termina con pedaleo suave y trabajo de movilidad corto.
golf:grip-setup,Agarre y posición inicial,Construye un agarre neutral y coloca las manos consistentemente para cada palo.|Establece la postura con ligera inclinación de cadera y presión equilibrada en ambos pies.|Alinea pies, caderas y hombros paralelos a la línea objetivo.|Mantén la posición inicial repetible para que tu swing comience desde el mismo lugar.,Practica 30 repeticiones de posición con palos de alineación antes de golpear bolas.|Fílmate en línea con el objetivo para verificar la postura y alineación.|Golpea 20 medios swings enfocándote solo en la calidad del contacto.|Usa una lista pre-golpe para agarre, postura y apuntamiento.
golf:driver-swing,Swing con driver,Usa una postura más amplia y el tee suficientemente alto para un golpe ascendente.|Crea amplitud en el backswing y mantén el tempo en la transición.|Desplaza el peso hacia el lado delantero antes del impacto para un lanzamiento consistente.|Termina equilibrado con el pecho mirando al objetivo.,Pega 3 x 10 drives enfocándote en el contacto en el centro de la cara.|Registra la dirección del lanzamiento y ajusta primero la alineación.|Grábate de frente para verificar el desplazamiento del peso.|Termina con 10 swings de búsqueda de fairway al 80 por ciento de velocidad.
golf:iron-full-swing,Swing completo con hierro,Coloca el balón ligeramente adelante del centro con postura estable.|Comprime el balón golpeando primero el balón y luego el terreno.|Controla el punto más bajo con posición estable de la cabeza y presión en el lado delantero.|Mantén el ritmo y evita forzar velocidad extra.,Pega 4 x 8 golpes con un hierro 7 hacia un objetivo.|Usa cinta de impacto para verificar la ubicación del golpe en la cara.|Practica 10 swings de tres cuartos para el control del contacto.|Registra los rangos de distancia de vuelo para cada hierro.
golf:fairway-wood-hybrid,Madera de calle y híbrido,Mantén la posición del balón ligeramente adelante y barre a través del impacto.|Usa un tempo suave para mejorar el contacto centrado desde el terreno.|Permanece erguido a través del pecho para evitar un ángulo de ataque pronunciado.|Elige el palo en función de la ventana de distancia, no de la distancia máxima.,Juega un ejercicio escalonado con híbrido hacia tres objetivos.|Pega 15 golpes desde un tee bajo y 15 desde el terreno.|Registra patrones de línea de salida y curvatura.|Termina con una secuencia de simulación de hoyos.
golf:chip-shot,Chip,Usa una postura estrecha y mantén el peso ligeramente en el pie delantero.|Minimiza el movimiento de muñeca para un rodado predecible.|Golpea con un golpe descendente y cara de palo estable.|Elige un punto de aterrizaje preciso antes de cada chip.,Practica 30 chips hacia una toalla de aterrizaje a corta distancia.|Usa tres palos y compara las distancias de rodado.|Realiza un desafío de arriba y abajo desde 5 posiciones.|Registra el porcentaje de éxito dentro de 2 metros.
golf:pitch-shot,Pitch,Abre ligeramente la postura y permite una bisagra controlada en el backswing.|Acelera a través del impacto para mantener el loft y el spin.|Ajusta la longitud del swing a la distancia de vuelo en vez de forzar potencia.|Mantén el pecho rotando a través del golpe para un contacto limpio.,Construye una matriz de distancia de 30-50-70 metros con un wedge.|Pega 5 bolas por distancia y anota el vuelo promedio.|Practica trayectoria alta vs. baja con el mismo objetivo.|Termina con un desafío de wedge a distancias aleatorias.
golf:bunker-shot,Golpe desde el bunker,Abre la cara del palo antes de tomar el agarre y apunta el cuerpo ligeramente a la izquierda.|Entra en la arena detrás del balón con velocidad a través del impacto.|Usa la parte inferior del cuerpo estable y un seguimiento completo.|Concéntrate en el splash y la zona de aterrizaje, no en el contacto primero con el balón.,Traza una línea en la arena y practica entrar en el mismo punto.|Pega 20 golpes desde el bunker hacia un área de aterrizaje de 5 metros.|Alterna objetivos cercanos y lejanos al hoyo desde el bunker.|Registra cuántas bolas terminan dentro de 3 metros.
golf:putting-basics,Fundamentos del putt,Coloca los ojos sobre la bola o justo dentro con la cara del palo cuadrada.|Controla la línea de salida con una cara de palo estable a través del impacto.|Usa los hombros para mecer el golpe y mantén las muñecas quietas.|Sostén el final brevemente para mejorar el control de la cara.,Rueda 50 putts a través de un ejercicio de puerta a corta distancia.|Practica el ejercicio de línea de salida desde 1.5 y 3 metros.|Fílmate por detrás para verificar la apuntación de la cara y la trayectoria.|Termina con 20 putts de presión y registra los aciertos.
golf:lag-putting,Putt de distancia,Concéntrate en el control de distancia para reducir el riesgo de tres putts.|Ajusta la longitud del golpe a la distancia del putt con tempo consistente.|Lee la pendiente y elige el punto más alto antes del golpe.|Prioriza terminar dentro de una zona de deje segura.,Realiza el ejercicio de putt escalonado a 6, 9, 12 y 15 metros.|Pega 3 bolas por estación y mide la distancia del deje.|Practica putts de distancia cuesta arriba y cuesta abajo por separado.|Registra el porcentaje que queda dentro de 1 metro.
golf:draw-fade-control,Control de draw y fade,Ajusta la cara del palo y la trayectoria del swing intencionalmente para pequeños cambios de curva.|Mantén los cambios de posición mínimos y controlados entre formas de golpe.|Comprométete con una línea de salida y una ventana de curva por golpe.|Usa el control de forma para la estrategia, no para la curvatura máxima.,Pega 10 draws y 10 fades con un hierro medio hacia el mismo objetivo.|Usa palos de alineación para monitorear la dirección de la trayectoria.|Registra patrones de trayectoria de vuelo y calidad del contacto.|Termina con llamadas aleatorias de forma de golpe antes de cada swing.
golf:course-management,Gestión del campo,Elige objetivos que eviten grandes errores en vez de buscar golpes perfectos.|Juega tu golpe estándar y distancias de vuelo realistas.|Planifica las zonas de aproximación basándote en tu patrón de error.|Acepta decisiones conservadoras para reducir la varianza en el marcador.,Revisa el mapa de un hoyo y elige objetivos seguros para cada golpe.|Juega 9 hoyos con una regla estricta de no intentar golpes heroicos.|Registra penalizaciones, tres putts y decisiones de recuperación.|Escribe un ajuste para la próxima ronda tras la revisión.
golf:pre-shot-routine,Rutina pre-golpe,Usa una secuencia consistente para la selección de objetivo, el ensayo y la posición inicial.|Limita los pensamientos técnicos sobre la bola y comprométete con una señal.|Controla la respiración para estabilizar el tempo bajo presión.|Comienza cada golpe con el mismo patrón de timing.,Construye una rutina de 15-20 segundos y repítela para cada golpe.|Practica 25 bolas en el campo de práctica usando la rutina completa cada vez.|Añade presión puntuando solo los golpes con la rutina completa.|Revisa qué señal da el mejor contacto consistente.
